product_id;status;current_handle;new_handle;rule;variant_count;variant_skus
15360050069834;ACTIVE;35174214840-1283;35.174.214.84x;multi_variant_suffix_x;2;35.174.214.840,35.174.214.841
15360083198282;ACTIVE;35173414840-1555;35.173.414.84x;multi_variant_suffix_x;2;35.173.414.840,35.173.414.841
15360162267466;ACTIVE;35170714840-2335;35.170.714.84x;multi_variant_suffix_x;2;35.170.714.840,35.170.714.841
15360179503434;ACTIVE;35169714840-2539;35.169.714.84x;multi_variant_suffix_x;2;35.169.714.840,35.169.714.841
15359986467146;ACTIVE;35176014328-672;35.176.014.32x;multi_variant_suffix_x;2;35.176.014.328,35.176.014.329
15360015925578;ACTIVE;35175214328-944;35.175.214.32x;multi_variant_suffix_x;2;35.175.214.328,35.175.214.329
15360050135370;ACTIVE;35174214328-1284;35.174.214.32x;multi_variant_suffix_x;2;35.174.214.328,35.174.214.329
15360083329354;ACTIVE;35173414328-1556;35.173.414.32x;multi_variant_suffix_x;2;35.173.414.328,35.173.414.329
15360162333002;ACTIVE;35170714328-2336;35.170.714.32x;multi_variant_suffix_x;2;35.170.714.328,35.170.714.329
15360179536202;ACTIVE;35169714328-2540;35.169.714.32x;multi_variant_suffix_x;2;35.169.714.328,35.169.714.329
15359986598218;ACTIVE;35176014165-675;35.176.014.16x;multi_variant_suffix_x;3;35.176.014.165,35.176.014.166,35.176.014.167
15360016220490;ACTIVE;35175214165-947;35.175.214.16x;multi_variant_suffix_x;3;35.175.214.165,35.175.214.166,35.175.214.167
15360050430282;ACTIVE;35174214165-1287;35.174.214.16x;multi_variant_suffix_x;3;35.174.214.165,35.174.214.166,35.174.214.167
15360083657034;ACTIVE;35173414165-1559;35.173.414.16x;multi_variant_suffix_x;3;35.173.414.165,35.173.414.166,35.173.414.167
15360162627914;ACTIVE;35170714165-2339;35.170.714.16x;multi_variant_suffix_x;3;35.170.714.165,35.170.714.166,35.170.714.167
15360179634506;ACTIVE;35169714165-2543;35.169.714.16x;multi_variant_suffix_x;3;35.169.714.165,35.169.714.166,35.169.714.167
